query_id,query,query_type,source_caption_snippet
15,matching mastersunion jacket,apparel_brand,"A man in a black jacket sits in a grey armchair holding a document, with text reading ""MASTERS' UNION"" visible in the top right corner."
16,t-shirt with text mastersunion,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
17,people wearing mastersunion t-shirt,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
18,matching mastersunion t-shirt,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
19,t-shirt with text hyrox,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
20,people wearing hyrox t-shirt,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
21,matching hyrox t-shirt,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
22,shirt with text mastersunion,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
23,people wearing mastersunion shirt,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
24,matching mastersunion shirt,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
25,shirt with text hyrox,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
26,people wearing hyrox shirt,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
27,matching hyrox shirt,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
28,pants with text mastersunion,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
29,people wearing mastersunion pants,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
30,matching mastersunion pants,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
31,pants with text hyrox,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
32,people wearing hyrox pants,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
33,matching hyrox pants,apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
34,jacket with text hyrox,apparel_brand,"A man in a blue zip-up jacket and yellow shorts stands in front of a backdrop with a giant graduation cap and the text ""CLASS OF HYROX'26"", making hand gestures"
35,people wearing hyrox jacket,apparel_brand,"A man in a blue zip-up jacket and yellow shorts stands in front of a backdrop with a giant graduation cap and the text ""CLASS OF HYROX'26"", making hand gestures"
36,matching hyrox jacket,apparel_brand,"A man in a blue zip-up jacket and yellow shorts stands in front of a backdrop with a giant graduation cap and the text ""CLASS OF HYROX'26"", making hand gestures"
37,vest with text mastersunion,apparel_brand,A shirtless man wearing light blue shorts and a vest stands and flexes his bicep while holding a rolled diploma in front of a branded wall that reads 'masters' 
38,people wearing mastersunion vest,apparel_brand,A shirtless man wearing light blue shorts and a vest stands and flexes his bicep while holding a rolled diploma in front of a branded wall that reads 'masters' 
39,matching mastersunion vest,apparel_brand,A shirtless man wearing light blue shorts and a vest stands and flexes his bicep while holding a rolled diploma in front of a branded wall that reads 'masters' 
40,vest with text hyrox,apparel_brand,A shirtless man wearing light blue shorts and a vest stands and flexes his bicep while holding a rolled diploma in front of a branded wall that reads 'masters' 
41,people wearing hyrox vest,apparel_brand,A shirtless man wearing light blue shorts and a vest stands and flexes his bicep while holding a rolled diploma in front of a branded wall that reads 'masters' 
42,matching hyrox vest,apparel_brand,A shirtless man wearing light blue shorts and a vest stands and flexes his bicep while holding a rolled diploma in front of a branded wall that reads 'masters' 
43,jersey with text hyrox,apparel_brand,"A man wearing a red basketball jersey and cap poses with a sign in front of a branded event backdrop reading ""CLASS OF HYROX'26""."
44,people wearing hyrox jersey,apparel_brand,"A man wearing a red basketball jersey and cap poses with a sign in front of a branded event backdrop reading ""CLASS OF HYROX'26""."
45,matching hyrox jersey,apparel_brand,"A man wearing a red basketball jersey and cap poses with a sign in front of a branded event backdrop reading ""CLASS OF HYROX'26""."
46,shoe with text mastersunion,apparel_brand,"A young man stands in front of a backdrop reading ""MASTERS' UNION HYROX DELHI"" and ""CLASS OF HYROX'26"", beneath a large hanging graduation cap. He wears a grey "
47,people wearing mastersunion shoe,apparel_brand,"A young man stands in front of a backdrop reading ""MASTERS' UNION HYROX DELHI"" and ""CLASS OF HYROX'26"", beneath a large hanging graduation cap. He wears a grey "
48,matching mastersunion shoe,apparel_brand,"A young man stands in front of a backdrop reading ""MASTERS' UNION HYROX DELHI"" and ""CLASS OF HYROX'26"", beneath a large hanging graduation cap. He wears a grey "
49,shoe with text hyrox,apparel_brand,"A young man stands in front of a backdrop reading ""MASTERS' UNION HYROX DELHI"" and ""CLASS OF HYROX'26"", beneath a large hanging graduation cap. He wears a grey "
50,people wearing hyrox shoe,apparel_brand,"A young man stands in front of a backdrop reading ""MASTERS' UNION HYROX DELHI"" and ""CLASS OF HYROX'26"", beneath a large hanging graduation cap. He wears a grey "
51,matching hyrox shoe,apparel_brand,"A young man stands in front of a backdrop reading ""MASTERS' UNION HYROX DELHI"" and ""CLASS OF HYROX'26"", beneath a large hanging graduation cap. He wears a grey "
52,gloves with text mastersunion,apparel_brand,"A man wearing a neon yellow tank top, black shorts, and fingerless gloves poses in front of a dark backdrop featuring the text ""masters' union HYROX DELHI""."
53,people wearing mastersunion gloves,apparel_brand,"A man wearing a neon yellow tank top, black shorts, and fingerless gloves poses in front of a dark backdrop featuring the text ""masters' union HYROX DELHI""."
54,matching mastersunion gloves,apparel_brand,"A man wearing a neon yellow tank top, black shorts, and fingerless gloves poses in front of a dark backdrop featuring the text ""masters' union HYROX DELHI""."
55,gloves with text hyrox,apparel_brand,"A man wearing a neon yellow tank top, black shorts, and fingerless gloves poses in front of a dark backdrop featuring the text ""masters' union HYROX DELHI""."
56,people wearing hyrox gloves,apparel_brand,"A man wearing a neon yellow tank top, black shorts, and fingerless gloves poses in front of a dark backdrop featuring the text ""masters' union HYROX DELHI""."
57,matching hyrox gloves,apparel_brand,"A man wearing a neon yellow tank top, black shorts, and fingerless gloves poses in front of a dark backdrop featuring the text ""masters' union HYROX DELHI""."
58,suit with text mastersunion,apparel_brand,"A young person in a dark suit stands on a stage with a microphone, presenting in front of a wall with ""MASTERSUNION"" lettering and a sign that reads ""QUESTIFY""."
59,people wearing mastersunion suit,apparel_brand,"A young person in a dark suit stands on a stage with a microphone, presenting in front of a wall with ""MASTERSUNION"" lettering and a sign that reads ""QUESTIFY""."
60,matching mastersunion suit,apparel_brand,"A young person in a dark suit stands on a stage with a microphone, presenting in front of a wall with ""MASTERSUNION"" lettering and a sign that reads ""QUESTIFY""."
61,suit with text questify,apparel_brand,"A young person in a dark suit stands on a stage with a microphone, presenting in front of a wall with ""MASTERSUNION"" lettering and a sign that reads ""QUESTIFY""."
62,people wearing questify suit,apparel_brand,"A young person in a dark suit stands on a stage with a microphone, presenting in front of a wall with ""MASTERSUNION"" lettering and a sign that reads ""QUESTIFY""."
63,matching questify suit,apparel_brand,"A young person in a dark suit stands on a stage with a microphone, presenting in front of a wall with ""MASTERSUNION"" lettering and a sign that reads ""QUESTIFY""."
64,gown with text mastersunion,apparel_brand,An official wearing a black and yellow graduation gown and cap speaks behind a podium bearing the 'masters' union' logo during an outdoor event.
65,people wearing mastersunion gown,apparel_brand,An official wearing a black and yellow graduation gown and cap speaks behind a podium bearing the 'masters' union' logo during an outdoor event.
66,matching mastersunion gown,apparel_brand,An official wearing a black and yellow graduation gown and cap speaks behind a podium bearing the 'masters' union' logo during an outdoor event.
67,t-shirt with text nivia,apparel_brand,"A young man wearing a black t-shirt with the ""masters union"" logo stands next to a reception desk in front of a wall featuring the white ""NIVIA"" logo, gesturing"
68,people wearing nivia t-shirt,apparel_brand,"A young man wearing a black t-shirt with the ""masters union"" logo stands next to a reception desk in front of a wall featuring the white ""NIVIA"" logo, gesturing"
69,matching nivia t-shirt,apparel_brand,"A young man wearing a black t-shirt with the ""masters union"" logo stands next to a reception desk in front of a wall featuring the white ""NIVIA"" logo, gesturing"
70,shirt with text nivia,apparel_brand,"A young man wearing a black t-shirt with the ""masters union"" logo stands next to a reception desk in front of a wall featuring the white ""NIVIA"" logo, gesturing"
71,people wearing nivia shirt,apparel_brand,"A young man wearing a black t-shirt with the ""masters union"" logo stands next to a reception desk in front of a wall featuring the white ""NIVIA"" logo, gesturing"
72,matching nivia shirt,apparel_brand,"A young man wearing a black t-shirt with the ""masters union"" logo stands next to a reception desk in front of a wall featuring the white ""NIVIA"" logo, gesturing"
73,hoodie with text mastersunion,apparel_brand,Young adults wearing black hoodies labeled 'MASTERS' UNION' stand outdoors near a display table arranged with ceramic vases.
74,people wearing mastersunion hoodie,apparel_brand,Young adults wearing black hoodies labeled 'MASTERS' UNION' stand outdoors near a display table arranged with ceramic vases.
75,matching mastersunion hoodie,apparel_brand,Young adults wearing black hoodies labeled 'MASTERS' UNION' stand outdoors near a display table arranged with ceramic vases.
76,jersey with text mastersunion,apparel_brand,"A group of seven young women wearing matching black and yellow ""masters' union"" athletic jerseys pose together on an outdoor basketball court at night."
77,people wearing mastersunion jersey,apparel_brand,"A group of seven young women wearing matching black and yellow ""masters' union"" athletic jerseys pose together on an outdoor basketball court at night."
78,matching mastersunion jersey,apparel_brand,"A group of seven young women wearing matching black and yellow ""masters' union"" athletic jerseys pose together on an outdoor basketball court at night."
79,uniform with text mastersunion,apparel_brand,A chef in a white uniform prepares food behind a counter in a commercial kitchen while staff and customers stand nearby. Signage in the upper right corner reads
80,people wearing mastersunion uniform,apparel_brand,A chef in a white uniform prepares food behind a counter in a commercial kitchen while staff and customers stand nearby. Signage in the upper right corner reads
81,matching mastersunion uniform,apparel_brand,A chef in a white uniform prepares food behind a counter in a commercial kitchen while staff and customers stand nearby. Signage in the upper right corner reads
82,jacket with text nivia,apparel_brand,A woman with long dark hair and a black jacket poses with her arms outstretched in front of a large stack of cardboard boxes labeled 'NIVIA'.
83,people wearing nivia jacket,apparel_brand,A woman with long dark hair and a black jacket poses with her arms outstretched in front of a large stack of cardboard boxes labeled 'NIVIA'.
84,matching nivia jacket,apparel_brand,A woman with long dark hair and a black jacket poses with her arms outstretched in front of a large stack of cardboard boxes labeled 'NIVIA'.
85,mastersunion hat,brand_apparel,"Two men stand side-by-side in athletic wear at an indoor venue, posing in front of a backdrop featuring the text 'MASTERS UNION' and 'CLASS OF HYROX '26' beneat"
86,hyrox hat,brand_apparel,"Two men stand side-by-side in athletic wear at an indoor venue, posing in front of a backdrop featuring the text 'MASTERS UNION' and 'CLASS OF HYROX '26' beneat"
87,mastersunion shorts,brand_apparel,"A woman in an orange top and black shorts jogs on an indoor track underneath a large ""masters' union HYROX DELHI"" sign."
88,hyrox shorts,brand_apparel,"A woman in an orange top and black shorts jogs on an indoor track underneath a large ""masters' union HYROX DELHI"" sign."
89,mastersunion jacket,brand_apparel,"A man in a black jacket sits in a grey armchair holding a document, with text reading ""MASTERS' UNION"" visible in the top right corner."
90,mastersunion t-shirt,brand_apparel,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
91,hyrox t-shirt,brand_apparel,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
92,mastersunion shirt,brand_apparel,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
93,hyrox shirt,brand_apparel,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
94,mastersunion pants,brand_apparel,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
95,hyrox pants,brand_apparel,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
96,hyrox jacket,brand_apparel,"A man in a blue zip-up jacket and yellow shorts stands in front of a backdrop with a giant graduation cap and the text ""CLASS OF HYROX'26"", making hand gestures"
97,mastersunion vest,brand_apparel,A shirtless man wearing light blue shorts and a vest stands and flexes his bicep while holding a rolled diploma in front of a branded wall that reads 'masters' 
98,hyrox vest,brand_apparel,A shirtless man wearing light blue shorts and a vest stands and flexes his bicep while holding a rolled diploma in front of a branded wall that reads 'masters' 
99,hyrox jersey,brand_apparel,"A man wearing a red basketball jersey and cap poses with a sign in front of a branded event backdrop reading ""CLASS OF HYROX'26""."
100,mastersunion shoe,brand_apparel,"A young man stands in front of a backdrop reading ""MASTERS' UNION HYROX DELHI"" and ""CLASS OF HYROX'26"", beneath a large hanging graduation cap. He wears a grey "
101,hyrox shoe,brand_apparel,"A young man stands in front of a backdrop reading ""MASTERS' UNION HYROX DELHI"" and ""CLASS OF HYROX'26"", beneath a large hanging graduation cap. He wears a grey "
102,mastersunion gloves,brand_apparel,"A man wearing a neon yellow tank top, black shorts, and fingerless gloves poses in front of a dark backdrop featuring the text ""masters' union HYROX DELHI""."
103,hyrox gloves,brand_apparel,"A man wearing a neon yellow tank top, black shorts, and fingerless gloves poses in front of a dark backdrop featuring the text ""masters' union HYROX DELHI""."
104,mastersunion suit,brand_apparel,"A young person in a dark suit stands on a stage with a microphone, presenting in front of a wall with ""MASTERSUNION"" lettering and a sign that reads ""QUESTIFY""."
105,questify suit,brand_apparel,"A young person in a dark suit stands on a stage with a microphone, presenting in front of a wall with ""MASTERSUNION"" lettering and a sign that reads ""QUESTIFY""."
106,mastersunion gown,brand_apparel,An official wearing a black and yellow graduation gown and cap speaks behind a podium bearing the 'masters' union' logo during an outdoor event.
107,nivia t-shirt,brand_apparel,"A young man wearing a black t-shirt with the ""masters union"" logo stands next to a reception desk in front of a wall featuring the white ""NIVIA"" logo, gesturing"
108,nivia shirt,brand_apparel,"A young man wearing a black t-shirt with the ""masters union"" logo stands next to a reception desk in front of a wall featuring the white ""NIVIA"" logo, gesturing"
109,mastersunion hoodie,brand_apparel,Young adults wearing black hoodies labeled 'MASTERS' UNION' stand outdoors near a display table arranged with ceramic vases.
110,mastersunion jersey,brand_apparel,"A group of seven young women wearing matching black and yellow ""masters' union"" athletic jerseys pose together on an outdoor basketball court at night."
111,mastersunion uniform,brand_apparel,A chef in a white uniform prepares food behind a counter in a commercial kitchen while staff and customers stand nearby. Signage in the upper right corner reads
112,nivia jacket,brand_apparel,A woman with long dark hair and a black jacket poses with her arms outstretched in front of a large stack of cardboard boxes labeled 'NIVIA'.
113,black shorts with text mastersunion,color_apparel_brand,"A woman in an orange top and black shorts jogs on an indoor track underneath a large ""masters' union HYROX DELHI"" sign."
114,black shorts with text hyrox,color_apparel_brand,"A woman in an orange top and black shorts jogs on an indoor track underneath a large ""masters' union HYROX DELHI"" sign."
115,black jacket with text mastersunion,color_apparel_brand,"A man in a black jacket sits in a grey armchair holding a document, with text reading ""MASTERS' UNION"" visible in the top right corner."
116,black t-shirt with text mastersunion,color_apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
117,black t-shirt with text hyrox,color_apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
118,black shirt with text mastersunion,color_apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
119,black shirt with text hyrox,color_apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
120,black hat with text mastersunion,color_apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
121,black hat with text hyrox,color_apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
122,black pants with text mastersunion,color_apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
123,black pants with text hyrox,color_apparel_brand,A man wearing a grey t-shirt and black pants poses in front of a backdrop that reads 'masters' union HYROX DELHI CLASS OF HYROX'26' under a large graduation cap
124,white shirt with text mastersunion,color_apparel_brand,"Four men wearing hairnets and casual shirts stand and converse inside a warehouse stacked with large white bags, with the text ""MASTERS' UNION"" visible in the t"
125,white shirt with text hyrox,color_apparel_brand,"Two young men pose together in front of a branded event backdrop featuring a large hanging graduation cap and white 3D text that reads ""CLASS OF HYROX '26"". Bot"
126,white hat with text hyrox,color_apparel_brand,"Two young men pose together in front of a branded event backdrop featuring a large hanging graduation cap and white 3D text that reads ""CLASS OF HYROX '26"". Bot"
127,blue jacket with text hyrox,color_apparel_brand,"A man in a blue zip-up jacket and yellow shorts stands in front of a backdrop with a giant graduation cap and the text ""CLASS OF HYROX'26"", making hand gestures"
128,blue hat with text hyrox,color_apparel_brand,"A man in a blue zip-up jacket and yellow shorts stands in front of a backdrop with a giant graduation cap and the text ""CLASS OF HYROX'26"", making hand gestures"
129,blue shorts with text hyrox,color_apparel_brand,"A man in a blue zip-up jacket and yellow shorts stands in front of a backdrop with a giant graduation cap and the text ""CLASS OF HYROX'26"", making hand gestures"
130,blue shorts with text mastersunion,color_apparel_brand,A shirtless man wearing light blue shorts and a vest stands and flexes his bicep while holding a rolled diploma in front of a branded wall that reads 'masters' 
131,blue vest with text mastersunion,color_apparel_brand,A shirtless man wearing light blue shorts and a vest stands and flexes his bicep while holding a rolled diploma in front of a branded wall that reads 'masters' 
132,blue vest with text hyrox,color_apparel_brand,A shirtless man wearing light blue shorts and a vest stands and flexes his bicep while holding a rolled diploma in front of a branded wall that reads 'masters' 
133,white hat with text mastersunion,color_apparel_brand,"Two men pose for a photo in front of a branded event backdrop featuring a large hanging graduation cap and the text ""masters' union HYROX DELHI CLASS OF HYROX '"
134,white shorts with text mastersunion,color_apparel_brand,"Two men pose for a photo in front of a branded event backdrop featuring a large hanging graduation cap and the text ""masters' union HYROX DELHI CLASS OF HYROX '"
135,white shorts with text hyrox,color_apparel_brand,"Two men pose for a photo in front of a branded event backdrop featuring a large hanging graduation cap and the text ""masters' union HYROX DELHI CLASS OF HYROX '"
136,white pants with text mastersunion,color_apparel_brand,"Two men pose for a photo in front of a branded event backdrop featuring a large hanging graduation cap and the text ""masters' union HYROX DELHI CLASS OF HYROX '"
137,white pants with text hyrox,color_apparel_brand,"Two men pose for a photo in front of a branded event backdrop featuring a large hanging graduation cap and the text ""masters' union HYROX DELHI CLASS OF HYROX '"
138,red shirt with text mastersunion,color_apparel_brand,"A group of students wearing red shirts with ""masters' union GLOBAL IMMERSION"" printed on the back are seated around large tables in a conference room, facing th"
139,blue shirt with text mastersunion,color_apparel_brand,"A man in an orange athletic shirt and blue shorts stands holding a small shopping bag with the text ""EARNED Not Given"" in front of a backdrop that reads ""master"
140,blue shirt with text hyrox,color_apparel_brand,"A man in an orange athletic shirt and blue shorts stands holding a small shopping bag with the text ""EARNED Not Given"" in front of a backdrop that reads ""master"
141,yellow t-shirt with text hyrox,color_apparel_brand,"A man wearing a neon yellow t-shirt and glasses stands next to a young girl in light-colored clothing, posing in front of a backdrop that reads 'CLASS OF HYROX'"
142,yellow shirt with text hyrox,color_apparel_brand,"A man wearing a neon yellow t-shirt and glasses stands next to a young girl in light-colored clothing, posing in front of a backdrop that reads 'CLASS OF HYROX'"
143,gold hat with text mastersunion,color_apparel_brand,"An indoor event backdrop featuring a tiled wall, a giant hanging graduation cap with a gold tassel, and bold lettering that reads ""CLASS OF HYROX'26"" below ""MAS"
144,gold hat with text hyrox,color_apparel_brand,"An indoor event backdrop featuring a tiled wall, a giant hanging graduation cap with a gold tassel, and bold lettering that reads ""CLASS OF HYROX'26"" below ""MAS"
145,orange shirt with text mastersunion,color_apparel_brand,"A young man in an orange athletic shirt and dark shorts is standing and posing for a photo at an event, holding a small branded bag, in front of a backdrop with"
146,orange shirt with text hyrox,color_apparel_brand,"A young man in an orange athletic shirt and dark shorts is standing and posing for a photo at an event, holding a small branded bag, in front of a backdrop with"
147,orange hat with text mastersunion,color_apparel_brand,"A young man in an orange athletic shirt and dark shorts is standing and posing for a photo at an event, holding a small branded bag, in front of a backdrop with"
148,orange hat with text hyrox,color_apparel_brand,"A young man in an orange athletic shirt and dark shorts is standing and posing for a photo at an event, holding a small branded bag, in front of a backdrop with"
149,orange shorts with text mastersunion,color_apparel_brand,"A young man in an orange athletic shirt and dark shorts is standing and posing for a photo at an event, holding a small branded bag, in front of a backdrop with"
150,orange shorts with text hyrox,color_apparel_brand,"A young man in an orange athletic shirt and dark shorts is standing and posing for a photo at an event, holding a small branded bag, in front of a backdrop with"
151,green shirt with text mastersunion,color_apparel_brand,"A man in a green shirt and a woman pose together in front of a promotional wall displaying ""MASTERS' UNION HYROX DELHI"" and ""CLASS OF HYROX '26""."
152,green shirt with text hyrox,color_apparel_brand,"A man in a green shirt and a woman pose together in front of a promotional wall displaying ""MASTERS' UNION HYROX DELHI"" and ""CLASS OF HYROX '26""."
153,black vest with text mastersunion,color_apparel_brand,"A man wearing a white shirt and black vest stands behind a wooden podium, speaking in front of a projection screen that reads ""masters' union"" in a large room."
154,red hat with text hyrox,color_apparel_brand,"A man wearing a red basketball jersey and cap poses with a sign in front of a branded event backdrop reading ""CLASS OF HYROX'26""."
155,red jersey with text hyrox,color_apparel_brand,"A man wearing a red basketball jersey and cap poses with a sign in front of a branded event backdrop reading ""CLASS OF HYROX'26""."
156,white shoe with text mastersunion,color_apparel_brand,"A young man stands in front of a backdrop reading ""MASTERS' UNION HYROX DELHI"" and ""CLASS OF HYROX'26"", beneath a large hanging graduation cap. He wears a grey "
157,white shoe with text hyrox,color_apparel_brand,"A young man stands in front of a backdrop reading ""MASTERS' UNION HYROX DELHI"" and ""CLASS OF HYROX'26"", beneath a large hanging graduation cap. He wears a grey "
158,grey jacket with text mastersunion,color_apparel_brand,"A man with glasses and a jacket is seated in a grey armchair, holding a pen during an indoor event with the text ""MASTERS' UNION"" visible in the top right corne"
159,black gloves with text mastersunion,color_apparel_brand,"A man wearing a neon yellow tank top, black shorts, and fingerless gloves poses in front of a dark backdrop featuring the text ""masters' union HYROX DELHI""."
160,black gloves with text hyrox,color_apparel_brand,"A man wearing a neon yellow tank top, black shorts, and fingerless gloves poses in front of a dark backdrop featuring the text ""masters' union HYROX DELHI""."
161,blue t-shirt with text mastersunion,color_apparel_brand,"A man in a light blue t-shirt and beige shorts gives a thumbs-up in front of a promotional backdrop that reads ""MASTERS' UNION HYROX DELHI CLASS OF HYROX'26"" be"
162,blue t-shirt with text hyrox,color_apparel_brand,"A man in a light blue t-shirt and beige shorts gives a thumbs-up in front of a promotional backdrop that reads ""MASTERS' UNION HYROX DELHI CLASS OF HYROX'26"" be"
163,background with text mastersunion,signage_brand,"Two men stand side-by-side in athletic wear at an indoor venue, posing in front of a backdrop featuring the text 'MASTERS UNION' and 'CLASS OF HYROX '26' beneat"
164,mastersunion backdrop,signage_brand,"Two men stand side-by-side in athletic wear at an indoor venue, posing in front of a backdrop featuring the text 'MASTERS UNION' and 'CLASS OF HYROX '26' beneat"
165,background with text hyrox,signage_brand,"Two men stand side-by-side in athletic wear at an indoor venue, posing in front of a backdrop featuring the text 'MASTERS UNION' and 'CLASS OF HYROX '26' beneat"
166,hyrox backdrop,signage_brand,"Two men stand side-by-side in athletic wear at an indoor venue, posing in front of a backdrop featuring the text 'MASTERS UNION' and 'CLASS OF HYROX '26' beneat"
167,background with text questify,signage_brand,"A young person in a dark suit stands on a stage with a microphone, presenting in front of a wall with ""MASTERSUNION"" lettering and a sign that reads ""QUESTIFY""."
168,questify backdrop,signage_brand,"A young person in a dark suit stands on a stage with a microphone, presenting in front of a wall with ""MASTERSUNION"" lettering and a sign that reads ""QUESTIFY""."
169,background with text nivia,signage_brand,"A young man wearing a black t-shirt with the ""masters union"" logo stands next to a reception desk in front of a wall featuring the white ""NIVIA"" logo, gesturing"
170,nivia backdrop,signage_brand,"A young man wearing a black t-shirt with the ""masters union"" logo stands next to a reception desk in front of a wall featuring the white ""NIVIA"" logo, gesturing"
